geoid,name,smr_no,smr_gld,smr_slv,smr_brz,smr_tot,wtr_no,wtr_gld,wtr_slv,wtr_brz,wtr_tot,tot_no,tot_gld,tot_slv,tot_brz,tot_tot,tot_98,alt_98,gdp_1998,tot_00,alt_00,gdp_2000,tot_02,alt_02,gdp_2002,tot_04,alt_04,gdp_2004,tot_06,alt_06,gdp_2006,tot_08,alt_08,gdp_2008,tot_10,alt_10,gdp_2010,tot_12,alt_12,gdp_2012,tot_14,alt_14,gdp_2014,tot_16,alt_16,gdp_2016
USA,United States,27,1022,795,705,2522,23,105,110,90,305,50,1127,905,795,2827,13,28,32949,91,187,36450,31,60,38166,94,197,41922,25,52,46437,106,210,48401,35,67,48374,103,223,51450,28,53,54599,121,250,57638
GBR,United Kingdom,28,263,295,291,849,23,11,4,16,31,51,274,299,307,880,1,1,28015,28,60,27982,2,4,29786,29,55,39984,1,2,44252,43,87,46768,1,3,38893,NA,NA,41791,NA,NA,46783,NA,NA,40367
DEU,Germany,16,191,194,230,615,12,92,88,60,240,28,283,282,290,855,29,62,27341,55,96,23719,36,76,25205,47,88,34166,29,63,36448,37,74,45699,30,63,41786,44,86,44065,19,41,48043,42,86,42161
FRA,France,28,212,241,263,716,23,36,35,53,124,51,248,276,316,840,8,13,25101,38,78,22466,11,24,24275,29,57,33875,9,17,36545,40,70,45413,11,18,40703,35,68,40838,15,27,42955,42,80,36857
ITA,Italy,27,206,178,193,577,23,40,36,48,124,50,246,214,241,701,10,20,22252,34,68,20051,13,25,22197,31,60,31175,11,21,33411,26,51,40640,5,8,35849,28,53,34814,8,10,35397,28,56,30661
SWE,Sweden,27,145,170,179,494,23,57,46,55,158,50,202,216,234,652,3,5,30144,12,25,29283,7,9,29572,7,17,42442,13,27,46256,5,9,55747,11,23,52076,8,14,57134,15,26,59180,11,21,51845
CHN,China,10,224,167,155,546,11,13,28,21,62,21,237,195,176,608,8,14,829,53,118,959,8,14,1149,56,126,1509,11,19,2099,90,205,3471,11,23,4561,91,198,6338,9,19,7684,70,140,8123
RUS,Russia,6,149,124,153,426,6,47,38,35,120,12,196,162,188,546,18,42,1835,88,178,1772,13,27,2375,90,169,4102,22,44,6920,67,128,11635,15,26,10675,69,128,15435,29,60,14126,55,110,8748
NOR,Norway,25,56,49,47,152,23,132,125,111,368,48,188,174,158,520,25,55,34789,10,21,38147,24,53,43061,5,13,57570,19,31,74115,9,20,97008,23,49,87770,4,9,101668,26,53,97200,4,4,70868
AUS,Australia,26,147,163,187,497,19,5,5,5,15,45,152,168,192,512,1,1,21366,58,115,21691,2,6,20082,44,90,30472,2,4,36118,45,87,49665,3,8,51874,35,66,67635,3,5,62100,29,56,49755
CAN,Canada,26,64,102,136,302,23,73,64,62,199,49,137,166,198,501,14,29,20888,14,23,24124,17,34,24168,11,22,31980,24,48,40387,17,31,46596,26,61,47447,18,27,52497,25,55,50454,22,33,42183
HUN,Hungary,26,175,147,169,491,23,1,2,4,7,49,176,149,173,498,NA,NA,4750,17,39,4633,NA,NA,6666,16,37,10296,NA,NA,11448,10,21,15740,NA,NA,13092,18,38,12888,NA,NA,14201,15,34,12820
JPN,Japan,22,142,135,162,439,21,14,22,22,58,43,156,157,184,497,9,18,31903,18,36,38532,2,3,32289,32,68,37689,1,3,35434,23,46,39339,5,8,44508,38,66,48603,8,14,38096,41,73,38901
