geoid,nation_name,smr_no,smr_tot,wtr_no,wtr_tot,tot_tot,stidx_98,altidx_98,gdp_1998,stidx_00,altidx_00,gdp_2000,stidx_02,altidx_02,gdp_2002,stidx_04,altidx_04,gdp_2004,stidx_06,altidx_06,gdp_2006,stidx_08,altidx_08,gdp_2008,stidx_10,altidx_10,gdp_2010,stidx_12,altidx_12,gdp_2012,stidx_14,altidx_14,gdp_2014,stidx_16,altidx_16,gdp_2016
USA,United States,27,2522,23,305,2827,0.394549152,0.849798173,32949,2.496570645,5.130315501,36450,0.812241262,1.572079862,38166,2.242259434,4.699203282,41922,0.538363805,1.119796714,46437,2.190037396,4.338753332,48401,0.723529169,1.385041551,48374,2.001943635,4.334305151,51450,0.512829905,0.970713749,54599,2.099309483,4.337416288,57638
GBR,United Kingdom,28,849,23,31,880,0.035695163,0.035695163,28015,1.000643271,2.14423558,27982,0.067145639,0.134291278,29786,0.725290116,1.37555022,39984,0.022597849,0.045195697,44252,0.91943209,1.860246322,46768,0.025711568,0.077134703,38893,NA,NA,41791,NA,NA,46783,NA,NA,40367
DEU,Germany,16,615,12,240,855,1.060678102,2.267656633,27341,2.318816139,4.04738817,23719,1.428288038,3.015274747,25205,1.375636598,2.575660013,34166,0.795654083,1.728489903,36448,0.809645725,1.619291451,45699,0.717943809,1.507681999,41786,0.998524906,1.951662317,44065,0.39547905,0.853402161,48043,0.996181305,2.039799815,42161
FRA,France,28,716,23,124,840,0.318712402,0.517907653,25101,1.69144485,3.471913113,22466,0.453141092,0.988671473,24275,0.856088561,1.682656827,33875,0.24627172,0.465179915,36545,0.880805056,1.541408848,45413,0.27025035,0.442227846,40703,0.857044909,1.665115823,40838,0.349202654,0.628564777,42955,1.139539301,2.170551049,36857
ITA,Italy,27,577,23,124,701,0.449397807,0.898795614,22252,1.695676026,3.391352052,20051,0.585664729,1.126278326,22197,0.994386528,1.924619086,31175,0.329232887,0.628535512,33411,0.63976378,1.25492126,40640,0.139473904,0.223158247,35849,0.804274143,1.522376056,34814,0.226007854,0.282509817,35397,0.913212224,1.826424448,30661
SWE,Sweden,27,494,23,158,652,0.099522293,0.165870488,30144,0.409794078,0.853737663,29283,0.236710402,0.304341945,29572,0.164930965,0.400546628,42442,0.281044621,0.583708059,46256,0.089690925,0.161443665,55747,0.211229741,0.441662186,52076,0.140021703,0.245037981,57134,0.253464008,0.439337614,59180,0.212170894,0.405053525,51845
CHN,China,10,546,11,62,608,9.650180941,16.88781665,829,55.26590198,123.0448384,959,6.962576153,12.18450827,1149,37.11066932,83.49900596,1509,5.240590758,9.05192949,2099,25.92912705,59.0607894,3471,2.411751809,5.042753782,4561,14.35784159,31.24013885,6338,1.171264966,2.472670484,7684,8.617505848,17.2350117,8123
RUS,Russia,6,426,6,120,546,9.809264305,22.88828338,1835,49.66139955,100.4514673,1772,5.473684211,11.36842105,2375,21.94051682,41.19941492,4102,3.179190751,6.358381503,6920,5.758487323,11.00128921,11635,1.405152225,2.43559719,10675,4.470359572,8.292840946,15435,2.052952003,4.247486904,14126,6.287151349,12.5743027,8748
NOR,Norway,25,152,23,368,520,0.718617954,1.580959499,34789,0.262143812,0.550502005,38147,0.557348877,1.230812104,43061,0.08685079,0.225812055,57570,0.256358362,0.418268906,74115,0.092775854,0.206168563,97008,0.262048536,0.558277316,87770,0.039343746,0.088523429,101668,0.267489712,0.54526749,97200,0.056442964,0.056442964,70868
AUS,Australia,26,497,19,15,512,0.046803332,0.046803332,21366,2.673920059,5.301738048,21691,0.099591674,0.298775022,20082,1.443948543,2.953531111,30472,0.055374052,0.110748103,36118,0.906070674,1.751736635,49665,0.05783244,0.15421984,51874,0.517483551,0.975826126,67635,0.048309179,0.080515298,62100,0.582855994,1.125515024,49755
CAN,Canada,26,302,23,199,501,0.670241287,1.388356951,20888,0.580334936,0.953407395,24124,0.703409467,1.406818934,24168,0.343964978,0.687929956,31980,0.594250625,1.18850125,40387,0.364838184,0.665293158,46596,0.547979851,1.285645036,47447,0.342876736,0.514315104,52497,0.495500852,1.090101875,50454,0.521537112,0.782305668,42183
HUN,Hungary,26,491,23,7,498,NA,NA,4750,3.669328729,8.417871789,4633,NA,NA,6666,1.554001554,3.593628594,10296,NA,NA,11448,0.635324015,1.334180432,15740,NA,NA,13092,1.396648045,2.948479205,12888,NA,NA,14201,1.170046802,2.652106084,12820
JPN,Japan,22,439,21,58,497,0.282105131,0.564210262,31903,0.467144192,0.934288384,38532,0.061940599,0.092910898,32289,0.849054101,1.804239964,37689,0.028221482,0.084664447,35434,0.584661532,1.169323064,39339,0.112339355,0.179742968,44508,0.781844742,1.357940868,48603,0.2099958,0.36749265,38096,1.053957482,1.876558443,38901
